Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
9,7.889998774833186e-4,7.833090695931859e-4,7.9681062149578e-4,2.149613368204323e-5,1.6159056912741767e-5,3.130149602065583e-5
10,1.016894123231542e-3,1.0109297798346867e-3,1.0247254079468297e-3,2.1999337653087104e-5,1.833110850856479e-5,3.0484403897819017e-5
11,1.2781679984937549e-3,1.269251533069186e-3,1.2890719644451229e-3,3.371454358653117e-5,2.8846825703667486e-5,4.054666611469643e-5
12,1.5567553095583255e-3,1.5428456906477963e-3,1.5752085892974247e-3,5.732713940335549e-5,4.633623288919599e-5,7.031404944733711e-5
=== +/+
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,2.040946837341948e-5,2.036822940000418e-5,2.0465596121408666e-5,1.591752386980844e-7,1.2390008540859192e-7,2.0297733025966315e-7
2,3.1883486280990464e-5,3.181627032991007e-5,3.195954099543982e-5,2.3250317533935907e-7,1.8690131270208558e-7,3.044579403983624e-7
3,4.40475674021983e-5,4.33621894107592e-5,4.4895792139973885e-5,2.3497902040222113e-6,1.7498615464365907e-6,3.3149974005861556e-6
4,5.4164207419442216e-5,5.3532313776722306e-5,5.4834851055750975e-5,2.173869587722599e-6,1.8389865566354187e-6,2.744432507988915e-6
5,6.33337611240117e-5,6.280603715076858e-5,6.40897966907112e-5,2.0045582358295316e-6,1.5429426086584877e-6,2.8723511528753273e-6
6,7.496279439131486e-5,7.422702578762614e-5,7.577685384249106e-5,2.4416038293347206e-6,2.0421948743882807e-6,2.788741330026469e-6
7,8.845956211810878e-5,8.621924902764574e-5,9.121777777524394e-5,8.624856491616099e-6,6.211568980901663e-6,1.0876715112532515e-5
8,9.961228609171437e-5,9.781327085016197e-5,1.0189326068853507e-4,6.406706305711124e-6,5.110456233711988e-6,8.16872186722967e-6
9,1.0507305783229328e-4,1.0434930834263502e-4,1.0619124828967688e-4,2.8744256231028915e-6,2.2630085773837545e-6,3.67394587629465e-6
10,1.2881785599115004e-4,1.2516358698070855e-4,1.348396059955213e-4,1.662418644719103e-5,1.1734831044850052e-5,2.4269693936616348e-5
11,1.2815781002576803e-4,1.2683005681386598e-4,1.2971950488890795e-4,4.994294486065706e-6,4.1356042499399655e-6,5.9788417417049795e-6
12,1.4191930009000784e-4,1.3943609897610764e-4,1.4593204165688122e-4,1.028384048532708e-5,8.14491423209046e-6,1.4865787948920054e-5
